,Sl_no,body,category
0,1,ICICI Bank Acc XX424 debited with INR 500.00 on 09-Mar-23 NFS*IOBD5123* Avb Bal: INR0.00 For dispute Call 18002662 or SMS BLOCK 424 to 9215676766,Online_transaction
1,2,"INR 179.00 spent on ICICI Bank Card XX1008 on 16-Mar-23 at AMAZON INDIA Avl Lmt: INR 6,07,940.00 To dispute call 18002662/SMS BLOCK 1008 to 9215676766",Ecommerce
2,3,"INR 179.00 spent on ICICI Bank Card XX1008 on 16-Mar-23 at AMAZON INDIA. Avl Lmt: INR 6,07,940.00. To dispute,call 18002662/SMS BLOCK 1008 to 9215676766",Ecommerce
3,4,AccountNo XXXXXX3406 CREDIT with amount Rs.110000.00 on 03-03-2023 Balance Rs.77396.00 [IN292004],Card_payment
4,5,"Debited INR.500.00 from A/c X2731 on 08-MAR-2023 NDA-1094-S1CWI796 FIRST AVENUE INDIRA N CHENNAI TNIN Bal INR:1,895.00 Not you? Call 180012001200 & dial 1 AU Bank",Online_transaction
5,6,You've spent Rs.2514 On HDFC Bank CREDIT Card xx9186 At AMAZON PAY INDIA Pvt Ltd On 2023-03-19:08:33:29 Avl bal: Rs.32285.05 Curr O/s: Rs.42714.95 Not you?Call 18002586161,Card_payment
6,7,"INR 230.00 spent on ICICI Bank Card XX1008 on 30-Mar-23 at WWW SWIGGY. Avl Lmt: INR 3,06,230.00. To dispute,call 18002662/SMS BLOCK 1008 to 9215676766",Ecommerce
7,8,"INR 804.00 spent on ICICI Bank Card XX1008 on 08-Apr-23 at Amazon.in - Gro. Avl Lmt: INR 3,05,406.60. To dispute,call 18002662/SMS BLOCK 1008 to 9215676766",Ecommerce
8,9,Rs.500.00 withdrawn at ATM ID:IOBD5123 SRIRAM NAGAR CHENNAI  CHENNAI on 09/03/23 14:03 from Ac:XXX550656. Bal:504.10 CR Always use INDIAN BANK ATM to avoid charges SMS BLOCK to +91-9289592895 to block all digital channel transactions if the current transaction is not done by you,ATM
9,10,INR 500.00 debited from A/c XXXXXXXX3885 towards ATM WITHDRAWAL 472357******8272 SRIRAM NAGAR CHEN CHENNAI TNIN Value 09-MAR-2023 Avl Bal is INR2.57 For any query call 1800-103-1222 Equitas Bank,ATM
10,11,Dear Customer statement for YES BANK Credit Card ending 3262 has been generated and will reach you shortly Total Due: INR 93308.66 Min Due:INR14627.76 and Payment Due Date: 04/04/23 Please pay including the decimal value to avoid charges immediate payment is required if previous statement dues are unpaid YES Bank Limited,UPI
11,12,"Your payment of INR 93,308.66 towards your YES Bank credit card XXXX-3262 has failed. Any amount, if debited from your account and received by CRED, will be refunded within 5 days. You can view more details for this order ID: D3G41124NPQD here: https://app.cred.club/spQx/3m739r1s",UPI
12,13,HDFC Bank: Rs 4400.00 debited from a/c **8448 on 11-03-23 to VPA akundu96@(UPI Ref No 000003938096). Not you? Call on 18002586161 to report,UPI
13,14,Your VPA 8095424559@paytm linked to Indian Bank a/c no. XXXXXX6561 is debited for Rs.1000.00 and credited to 50100175890219@HDFC0002375.ifsc.npci (UPI Ref no 307479511565).-Indian Bank,UPI
14,15,"UPDATE INR:32,241.00 debited from HDFC Bank XX0219 on 07-MAR-23 Info: EMI 119094314 Chq S1190943140211 0323119094314 Avl bal INR.2,149.90",Online_transaction
15,16,Rs.3000.00 Credited to SB-xxx9488 AcBal:3484.60 CLRBal: 3484.60 [DEPFAIL-19 ] CHENNAI-INDIRA NAGAR on 23-03-2023 18:17:59.IOB.,Card_payment
16,17,Rs.17.70 Debited to SB-xxx9488 AcBal 489.60 CLRBal 489.60 [CHRGS- SMS] CHENNAI INDIRA NAGAR on 06-03-2023 04:07:40 IOB,Online_transaction
17,18,Thanks for using HDFC Bank Visa Foodplus Card Card XXXX8938 for INR 343 at HITA LIFE VENTURES PRIV on 19-APR-23 07:04 PM. Card Bal: INR 1930.75. Not You ? Call 912261606161,Online_transaction
18,19,"Debited INR 99.00 from A/c X2731 on 15-MAR-2023 UPI/DR/344087827656/Airtel/PYTM Bal INR 4,901.00 Not you? Call 180012001200 & dial 1 -AU Bank",UPI
